Year,Month,Major Group Name,Group Name,Sub Group Name,Sub-Sub Group Name,Item Name,IndexValue
2025,June,Wholesale Price Index,*,*,*,*,153.8
2025,June,Primary articles,Food articles,Food grains (cereals+pulses),Cereals,*,204.4
2025,June,Primary articles,Food articles,Food grains (cereals+pulses),Pulses,*,197.0
2025,June,Primary articles,Food articles,Food grains (cereals+pulses),*,*,203.0
2025,June,Primary articles,Food articles,Food grains (cereals+pulses),Pulses,Rajma,230.5
2025,June,Primary articles,Food articles,Food grains (cereals+pulses),Pulses,Peas/chawali,194.9
2025,June,Primary articles,Food articles,Food grains (cereals+pulses),Pulses,Urad,199.7
2025,June,Primary articles,Food articles,Food grains (cereals+pulses),Pulses,Masur,188.5
2025,June,Primary articles,Food articles,Food grains (cereals+pulses),Pulses,Moong,184.9
2025,June,Primary articles,Food articles,Food grains (cereals+pulses),Pulses,Arhar,205.6
2025,June,Primary articles,Food articles,Food grains (cereals+pulses),Pulses,Gram,196.4
2025,June,Primary articles,Food articles,Food grains (cereals+pulses),Cereals,Ragi,315.7
2025,June,Primary articles,Food articles,Food grains (cereals+pulses),Cereals,Barley,213.9
2025,June,Primary articles,Food articles,Food grains (cereals+pulses),Cereals,Maize,208.0
2025,June,Primary articles,Food articles,Food grains (cereals+pulses),Cereals,Bajra,240.2
2025,June,Primary articles,Food articles,Food grains (cereals+pulses),Cereals,Jowar,197.1
2025,June,Primary articles,Food articles,Food grains (cereals+pulses),Cereals,Wheat,206.5
2025,June,Primary articles,Food articles,Food grains (cereals+pulses),Cereals,Paddy,199.8
2025,June,Primary articles,Food articles,Fruits & vegetables,Vegetables,*,219.2
2025,June,Primary articles,Food articles,Fruits & vegetables,Fruits,*,204.1
2025,June,Primary articles,Food articles,Fruits & vegetables,*,*,212.2
2025,June,Primary articles,Food articles,Fruits & vegetables,Fruits,Walnut,225.2
2025,June,Primary articles,Food articles,Fruits & vegetables,Fruits,Almonds,250.7
2025,June,Primary articles,Food articles,Fruits & vegetables,Fruits,Pear,135.1
2025,June,Primary articles,Food articles,Fruits & vegetables,Fruits,Jackfruit,95.3
